category,description,required,exists,sourcePath,bundlePath,sizeBytes,sha256
Main journal draft,Compiled LaTeX journal draft PDF for supervisor review.,True,True,results/l4_report_pdf/zktrustllm_agents_l4_journal_draft.pdf,results/l4_supervisor_handoff_bundle/files/results__l4_report_pdf__zktrustllm_agents_l4_journal_draft.pdf,170984,d9bae6a50049a8376bc27ab5f94d051422b8a64f7a732d367e67bf7cdd3aea51
LaTeX source,LaTeX source of the journal draft.,True,True,docs/paper/zktrustllm_agents_l4_journal_draft.tex,results/l4_supervisor_handoff_bundle/files/docs__paper__zktrustllm_agents_l4_journal_draft.tex,9242,809ceace1db3fa732a109cc32565eca5e9428dba8fe2bbdd9ce8da9ba9c316c1
Manuscript skeleton,Full Markdown journal manuscript skeleton.,True,True,docs/paper/zktrustllm_agents_l4_journal_manuscript_skeleton.md,results/l4_supervisor_handoff_bundle/files/docs__paper__zktrustllm_agents_l4_journal_manuscript_skeleton.md,22359,db84762df19b24f51a5b4ed4961e1401678c39fa6503dfbaf6f118d8f9de0b05
Methodology,Journal-ready methodology section.,True,True,docs/paper/l4_journal_methodology_policy_gated_automation_audit_anchor.md,results/l4_supervisor_handoff_bundle/files/docs__paper__l4_journal_methodology_policy_gated_automation_audit_anchor.md,6961,11f31bd443fd73c1f7d7b542e11722b704da8ce1f76e70c3150cc1bf6b48848a
Results narrative,Journal-ready results narrative.,True,True,docs/paper/l4_results_narrative_steps96_109.md,results/l4_supervisor_handoff_bundle/files/docs__paper__l4_results_narrative_steps96_109.md,2748,92a538fb71409dfe217dfc1515c905cb96394bdf6c46a1ed1d05340bc388bd7b
Architecture and tables,Journal-ready architecture figure and table explanation.,True,True,docs/paper/l4_journal_ready_architecture_tables_steps96_105.md,results/l4_supervisor_handoff_bundle/files/docs__paper__l4_journal_ready_architecture_tables_steps96_105.md,7086,1a366d840a055f2e131c639efbbd38695d5147031f6d9e1dabdc939eda83c8c8
Architecture figure,Journal-ready architecture figure in PDF format.,True,True,results/l4_journal_ready/figures/figure_6_1_l4_policy_gated_agentic_automation_architecture.pdf,results/l4_supervisor_handoff_bundle/files/results__l4_journal_ready__figures__figure_6_1_l4_policy_gated_agentic_automation_architecture.pdf,45230,c75e89b1a513b31119c02a521d9192946c4aea9e11c753796540acefe7c6378c
Architecture figure,Journal-ready architecture figure in PNG format.,True,True,results/l4_journal_ready/figures/figure_6_1_l4_policy_gated_agentic_automation_architecture.png,results/l4_supervisor_handoff_bundle/files/results__l4_journal_ready__figures__figure_6_1_l4_policy_gated_agentic_automation_architecture.png,313913,afd7eb986dcd9a087bbb1f4f1213f09f039ef5e7bc89e82e7aeef85c4d0b636e
Milestone report,Supervisor milestone report covering Steps 96-105.,True,True,results/l4_report_pdf/zktrustllm_l4_supervisor_milestone_report_steps96_105.pdf,results/l4_supervisor_handoff_bundle/files/results__l4_report_pdf__zktrustllm_l4_supervisor_milestone_report_steps96_105.pdf,6434,6a8cc8a2ff1fb96ed3d95634e0a340f092f6304e5502b83a36f5894e0ce739de
Repeated-run statistics,Repeated-run statistics report.,True,True,docs/l4/repeated_run_statistics/L4_REPEATED_RUN_STATISTICS.md,results/l4_supervisor_handoff_bundle/files/docs__l4__repeated_run_statistics__L4_REPEATED_RUN_STATISTICS.md,3208,ce9eea6e03aa563fedc754d3c1845595a04bcde3b718a848a492f24f235a4f84
